 BROWZINE, SCALAR, RUBRIQ,,,,,,,,,,,,,,
 MYEXPERIMENT, ENDNOTE, PANGAEA,,,,,,,,,,,,,,
 WORD, ENDNOTE, PANGAEA,,,,,,,,,,,,,,
 SCALAR, PANGAEA, RUBRIQ,,,,,,,,,,,,,,
 SCALAR, RUBRIQ, ACADEMIC KARMA,,,,,,,,,,,,,,
 PANGAEA, VIMEO, RUBRIQ,,,,,,,,,,,,,,
 ZENODO (POSTERS), MY SCIENCE WORK, PEERAGE OF SCIENCE,,,,,,,,,,,,,,
 WORLDCAT, PAY PER VIEW, GOOGLE SCHOLAR (ALERTS), HYPOTHES.IS,,,,,,,,,,,,,
 WORLDCAT, PAY PER VIEW, GOOGLE SCHOLAR (ALERTS), VIMEO,,,,,,,,,,,,,
 WORLDCAT, PAY PER VIEW, HYPOTHES.IS, CITAVI,,,,,,,,,,,,,
 WORLDCAT, PAY PER VIEW, HYPOTHES.IS, DATAVERSE,,,,,,,,,,,,,
 WORLDCAT, PAY PER VIEW, WORD, DATAVERSE,,,,,,,,,,,,,
 WORLDCAT, HYPOTHES.IS, SCALAR, DATAVERSE,,,,,,,,,,,,,
 WORLDCAT, HYPOTHES.IS, DATAVERSE, DOAJ,,,,,,,,,,,,,
 WORLDCAT, WORD, REFWORKS, DATAVERSE,,,,,,,,,,,,,
 WORLDCAT, SCALAR, REFWORKS, DATAVERSE,,,,,,,,,,,,,
 PAPERITY, PAY PER VIEW, DEEPDYVE, MAIL AUTHOR,,,,,,,,,,,,,
 PAPERITY, PAY PER VIEW, HTML VIEW, WORD,,,,,,,,,,,,,
 PAY PER VIEW, DEEPDYVE, MAIL AUTHOR, RESEARCHBLOGGING.ORG,,,,,,,,,,,,,
 PAY PER VIEW, EXCEL, WORKING PAPERS, VIMEO,,,,,,,,,,,,,
 PAY PER VIEW, EXCEL, MEGAJOURNAL (TRAD PUBL), VIMEO,,,,,,,,,,,,,
 RESEARCH4LIFE, SPARRHO, READCUBE, PROTOCOLS ONLINE,,,,,,,,,,,,,
 RESEARCH4LIFE, MEGAJOURNAL (TRAD PUBL), WIKIPEDIA, GOOGLE SCHOLAR CITATIONS,,,,,,,,,,,,,
 MAIL AUTHOR, HTML VIEW, WORKING PAPERS, PROFILE PAGE AT INSTITUTION,,,,,,,,,,,,,
 GOOGLE SCHOLAR (ALERTS), WORKING PAPERS, SSRN, SCOPUS (IMPACT),,,,,,,,,,,,,
 GOOGLE SCHOLAR (ALERTS), GITHUB, BITBUCKET, VIMEO,,,,,,,,,,,,,
 JOURNALTOCS, IANNOTATE, ROPENSCI, PAPERS,,,,,,,,,,,,,
 JOURNALTOCS, IANNOTATE, SCRIVENER, PAPERS,,,,,,,,,,,,,
 SPARRHO, READCUBE, PROTOCOLS ONLINE, MEGAJOURNAL (OA PUBL),,,,,,,,,,,,,
 SPARRHO, DRYAD, SCIENCEOPEN POSTERS, KUDOS,,,,,,,,,,,,,
 SPSS, ENDNOTE, SCIENCEOPEN POSTERS, KUDOS,,,,,,,,,,,,,
 SPSS, SCOPUS (SELECT J), SCIENCEOPEN POSTERS, KUDOS,,,,,,,,,,,,,
 MATLAB, OPEN SCIENCE FRAMEWORK, GITHUB, SPEAKERDECK,,,,,,,,,,,,,
 DHBOX, GOOGLE DRIVE/DOCS, REFME, VIMEO,,,,,,,,,,,,,
 OPEN SCIENCE FRAMEWORK, AUTHOREA, GITHUB, SPEAKERDECK,,,,,,,,,,,,,
 MYEXPERIMENT, ENDNOTE, FIGSHARE (DATA), RESEARCHBLOGGING.ORG,,,,,,,,,,,,,
 BENCHLING, PROTOCOLS.IO, BIORXIV, F1000 POSTERS,,,,,,,,,,,,,
 BENCHFLY, PANGAEA, JOURNALYSIS, VIMEO,,,,,,,,,,,,,
 GOOGLE DRIVE/DOCS, MEGAJOURNAL (TRAD PUBL), VIMEO, PLOS ALM,,,,,,,,,,,,,
 GITHUB, BITBUCKET, VIMEO, TWITTER,,,,,,,,,,,,,
 PANGAEA, JOURNALYSIS, VIMEO, MY SCIENCE WORK,,,,,,,,,,,,,
 SCOPUS (SELECT J), MEGAJOURNAL (TRAD PUBL), WIKIPEDIA, GOOGLE SCHOLAR CITATIONS,,,,,,,,,,,,,
 JOURNALYSIS, MEGAJOURNAL (TRAD PUBL), VIMEO, PLOS ALM,,,,,,,,,,,,,
 JOURNALYSIS, VIMEO, MY SCIENCE WORK, PLOS ALM,,,,,,,,,,,,,
 VIMEO, ACADEMIA.EDU, RUBRIQ, ACADEMIC KARMA,,,,,,,,,,,,,
 KUDOS, ACADEMIA.EDU, RESEARCHERID, MY SCIENCE WORK,,,,,,,,,,,,,
 WEB OF SCIENCE (SEARCH), PUBMED, BROWZINE, EXCEL, REFWORKS,,,,,,,,,,,,
 WEB OF SCIENCE (SEARCH), PUBMED, BROWZINE, REFWORKS, DRYAD,,,,,,,,,,,,
 WEB OF SCIENCE (SEARCH), PUBMED, WORD, REFWORKS, DRYAD,,,,,,,,,,,,
 WEB OF SCIENCE (SEARCH), WORD, GOOGLE DRIVE/DOCS, REFWORKS, DRYAD,,,,,,,,,,,,
 SCOPUS (SEARCH), SPSS, REFWORKS, SSRN, DATAVERSE,,,,,,,,,,,,
 SCOPUS (SEARCH), SPSS, REFWORKS, SSRN, ACADEMIA.EDU,,,,,,,,,,,,
 SCOPUS (SEARCH), REFWORKS, SSRN, DATAVERSE, DOAJ,,,,,,,,,,,,
 WORLDCAT, PAY PER VIEW, MAIL AUTHOR, HTML VIEW, EXCEL,,,,,,,,,,,,
 WORLDCAT, PAY PER VIEW, HTML VIEW, EXCEL, WORD,,,,,,,,,,,,
 WORLDCAT, PAY PER VIEW, EXCEL, CITAVI, VIMEO,,,,,,,,,,,,
 WORLDCAT, OA BUTTON, JOURNALTOCS, HTML VIEW, WORD,,,,,,,,,,,,
 WORLDCAT, EXCEL, CITAVI, VIMEO, WORDPRESS,,,,,,,,,,,,
 WORLDCAT, DHBOX, GOOGLE DRIVE/DOCS, VIMEO, ACADEMIC KARMA,,,,,,,,,,,,
 WORLDCAT, REFWORKS, SSRN, DATAVERSE, DOAJ,,,,,,,,,,,,
 WORLDCAT, CITAVI, VIMEO, WORDPRESS, ACADEMIC KARMA,,,,,,,,,,,,
 PAPERITY, PAY PER VIEW, MAIL AUTHOR, HTML VIEW, WORKING PAPERS,,,,,,,,,,,,
 PAY PER VIEW, MAIL AUTHOR, HTML VIEW, EXCEL, WORKING PAPERS,,,,,,,,,,,,
 PAY PER VIEW, MAIL AUTHOR, HTML VIEW, EXCEL, MEGAJOURNAL (TRAD PUBL),,,,,,,,,,,,
 PAY PER VIEW, MAIL AUTHOR, EXCEL, WORKING PAPERS, SCOPUS (IMPACT),,,,,,,,,,,,
 PAY PER VIEW, MAIL AUTHOR, EXCEL, MEGAJOURNAL (TRAD PUBL), SCOPUS (IMPACT),,,,,,,,,,,,
 PAY PER VIEW, MAIL AUTHOR, WORKING PAPERS, RESEARCHBLOGGING.ORG, SCOPUS (IMPACT),,,,,,,,,,,,
 PAY PER VIEW, MAIL AUTHOR, MEGAJOURNAL (TRAD PUBL), RESEARCHBLOGGING.ORG, SCOPUS (IMPACT),,,,,,,,,,,,
 PAY PER VIEW, GOOGLE SCHOLAR (ALERTS), OPEN SCIENCE FRAMEWORK, SCOPUS (SELECT J), WIKIPEDIA,,,,,,,,,,,,
 PAY PER VIEW, GOOGLE SCHOLAR (ALERTS), SCIENTIFIC PROTOCOLS, SCOPUS (SELECT J), WIKIPEDIA,,,,,,,,,,,,
 PAY PER VIEW, OPEN SCIENCE FRAMEWORK, WORD, ENDNOTE, DATAVERSE,,,,,,,,,,,,
 PAY PER VIEW, OPEN SCIENCE FRAMEWORK, WORD, SCOPUS (SELECT J), SCOPUS (IMPACT),,,,,,,,,,,,
 PAY PER VIEW, OPEN SCIENCE FRAMEWORK, SCOPUS (SELECT J), SCIENCEOPEN POSTERS, WIKIPEDIA,,,,,,,,,,,,
 PAY PER VIEW, OPEN SCIENCE FRAMEWORK, SCOPUS (SELECT J), SCIENCEOPEN POSTERS, RESEARCHBLOGGING.ORG,,,,,,,,,,,,
 PAY PER VIEW, JOURNALYSIS, MEGAJOURNAL (TRAD PUBL), VIMEO, WIKIPEDIA,,,,,,,,,,,,
 RESEARCHGATE (ACCESS), RESEARCH4LIFE, DEEPDYVE, SCIENTIFIC PROTOCOLS, RESEARCHBLOGGING.ORG,,,,,,,,,,,,
 RESEARCHGATE (ACCESS), RESEARCH4LIFE, READCUBE, PROTOCOLS ONLINE, MEGAJOURNAL (TRAD PUBL),,,,,,,,,,,,
 RESEARCHGATE (ACCESS), OA BUTTON, DEEPDYVE, MAIL AUTHOR, RESEARCHBLOGGING.ORG,,,,,,,,,,,,
 RESEARCH4LIFE, JOURNALTOCS, ROPENSCI, PAPERS, F1000 RESEARCH,,,,,,,,,,,,
 RESEARCH4LIFE, JOURNALTOCS, ROPENSCI, PAPERS, RESEARCHBLOGGING.ORG,,,,,,,,,,,,
 OA BUTTON, DEEPDYVE, MAIL AUTHOR, ROPENSCI, RESEARCHBLOGGING.ORG,,,,,,,,,,,,
 OA BUTTON, DOAJ, RESEARCHBLOGGING.ORG, PUBMED COMMONS, PLOS ALM,,,,,,,,,,,,
