NAME,GSCHOLSEARCH,WOSSEARCH,SCOPSEARCH,MENDSEARCH,WORLDCAT,PUBMED,PAPERI,INSTACC,PAYVIEW,RGATEACCESS,RES4LIFE,OABUT,DEEPDYVE,MAILAUTH,GSCHOLALERT,JRNLTOCS,BROWZINE,MENDALERT,F1000PRI,SPARRHO,RGATEALERT,ACROBAT,HTMLVIEW,IANNOTATE,READCUBE,UTOPDOCS,MENDREAD,HYPOTHES,RTOOL,SPSS,MATLAB,EXCEL,IPYTHON,ROPENSCI,DHBOX,OPSCIFRAM,MYEXP,BENCHLING,PROTOCIO,BENCHFLY,SCIPROT,PROTOCONL,WORD,GTDRIVE,AUTHOREA,LATEX,SCRIVEN,OVERLEAF,SCALAR,ENDNOTE,ZOTERO,REFWORKS,MENDREF,PAPERS,REFME,CITAVI,ARXIV,PMC,INREP,BIORXIV,WORKPAP,RGATESHAREPUB,SSRN,GITHUB,FIGSDATA,ZENODATA,DRYAD,DATAVERSE,PANGAEA,BITBUCK,JCRIFSEL,DOAJ,SCOPSEL,SHERPAROM,QOAM,SCIMAGO,JOURNALYS,JTOPTRAD,JTOPOA,MEGATRAD,MEGAOA,DATAJRNL,WINNOWER,F1000RES,SPEAKER,SLIDSHA,F1000POS,SCIOPPO,FIGSPOST,ZENOPOST,VIMEO,WIKIPEDIA,RESBLOG,WORDPRESS,KUDOS,FAMELAB,PINTSCI,TWITTER,SCHOLARCIT,RGATEPROF,ORCID,ACADEMIA,RESID,INSTPAGE,MYSCIWORK,PERRSCI,PUBLONS,PMCCOMMONS,PUBPEER,PAPARCRIT,RUBRIQ,KARMA,JCRIFIMP,ALTMETRIC,SCOPID,IMPSTOR,PLOSALM,WOSIMP,HARZPOP
GSCHOLSEARCH,NA,1,1,1,1,-1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-1,1,0,1,0,0,0,0,-1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
WOSSEARCH,1,NA,1,1,0,1,0,1,0,1,0,1,0,1,-1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,-1,1,0,-1,1,0,1,0,0,-1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,-1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
SCOPSEARCH,1,1,NA,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,-1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,-1,0,0,1,0,0,1,1,-1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
MENDSEARCH,1,1,1,NA,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,-1,-1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,-1,0,0,1,-1,0,-1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
WORLDCAT,1,0,0,1,NA,-1,0,1,1,-1,0,1,0,1,1,1,1,1,0,0,-1,0,1,1,0,0,0,1,-1,0,-1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,-1,1,0,1,0,1,1,0,0,0,1,0,-1,1,0,0,-1,1,0,1,1,0,1,0,0,-1,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
PUBMED,-1,1,0,1,-1,NA,0,1,-1,1,0,1,0,1,-1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,-1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,0,0,0,1,0,1,0,0,0,-1,-1,1,-1,1,-1,1,-1,0,1,0,1,0,0,0,1,0,-1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0,0,-1,0,1,1,-1,0,0,1,1,-1,0,1,1,-1
PAPERI,0,0,0,0,0,0,NA,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
INSTACC,0,1,0,0,1,1,0,NA,-1,-1,-1,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,1,0,0,-1,1,1,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
PAYVIEW,0,0,0,0,1,-1,1,-1,NA,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,-1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,-1,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,1,0,0,-1,0,0,0,1,0,0,-1,0,1,0,1,0,1,0,0,1,-1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,-1,0,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
RGATEACCESS,1,1,1,1,-1,1,0,-1,0,NA,1,1,1,1,0,0,-1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,-1,-1,0,-1,-1,-1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,1,1,1,1,1,1,-1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
