Source,Target,Type,id,weight
GSCHOLSEARCH,GSCHOLSEARCH,Undirected,0,18188.0
GSCHOLSEARCH,WOSSEARCH,Undirected,1,7642.0
GSCHOLSEARCH,SCOPSEARCH,Undirected,2,4931.0
GSCHOLSEARCH,MENDSEARCH,Undirected,3,2631.0
GSCHOLSEARCH,WORLDCAT,Undirected,4,2136.0
GSCHOLSEARCH,PUBMED,Undirected,5,6965.0
GSCHOLSEARCH,PAPERI,Undirected,6,479.0
GSCHOLSEARCH,SEARCHOTHCL,Undirected,7,6519.0
GSCHOLSEARCH,INSTACC,Undirected,8,16001.0
GSCHOLSEARCH,PAYVIEW,Undirected,9,2223.0
GSCHOLSEARCH,RGATEACCESS,Undirected,10,8838.0
GSCHOLSEARCH,RES4LIFE,Undirected,11,222.0
GSCHOLSEARCH,OABUT,Undirected,12,5080.0
GSCHOLSEARCH,DEEPDYVE,Undirected,13,144.0
GSCHOLSEARCH,MAILAUTH,Undirected,14,5197.0
GSCHOLSEARCH,ACCESSOTHCL,Undirected,15,2666.0
GSCHOLSEARCH,GSCHOLALERT,Undirected,16,9627.0
GSCHOLSEARCH,JRNLTOCS,Undirected,17,2494.0
GSCHOLSEARCH,BROWZINE,Undirected,18,334.0
GSCHOLSEARCH,MENDALERT,Undirected,19,1275.0
GSCHOLSEARCH,F1000PRI,Undirected,20,322.0
GSCHOLSEARCH,SPARRHO,Undirected,21,91.0
GSCHOLSEARCH,RGATEALERT,Undirected,22,7077.0
GSCHOLSEARCH,ALERTOTHCL,Undirected,23,3663.0
GSCHOLSEARCH,ACROBAT,Undirected,24,16201.0
GSCHOLSEARCH,HTMLVIEW,Undirected,25,7477.0
GSCHOLSEARCH,IANNOTATE,Undirected,26,473.0
GSCHOLSEARCH,READCUBE,Undirected,27,1112.0
GSCHOLSEARCH,UTOPDOCS,Undirected,28,99.0
GSCHOLSEARCH,MENDREAD,Undirected,29,2688.0
GSCHOLSEARCH,HYPOTHES,Undirected,30,176.0
GSCHOLSEARCH,READOTHCL,Undirected,31,2939.0
GSCHOLSEARCH,RTOOL,Undirected,32,3514.0
GSCHOLSEARCH,SPSS,Undirected,33,6243.0
GSCHOLSEARCH,MATLAB,Undirected,34,2844.0
GSCHOLSEARCH,EXCEL,Undirected,35,12922.0
GSCHOLSEARCH,IPYTHON,Undirected,36,749.0
GSCHOLSEARCH,ROPENSCI,Undirected,37,271.0
GSCHOLSEARCH,DHBOX,Undirected,38,74.0
GSCHOLSEARCH,ANALYZOTHCL,Undirected,39,5683.0
GSCHOLSEARCH,OPSCIFRAM,Undirected,40,1106.0
GSCHOLSEARCH,MYEXP,Undirected,41,306.0
GSCHOLSEARCH,BENCHLING,Undirected,42,95.0
GSCHOLSEARCH,PROTOCIO,Undirected,43,303.0
GSCHOLSEARCH,BENCHFLY,Undirected,44,97.0
GSCHOLSEARCH,SCIPROT,Undirected,45,537.0
GSCHOLSEARCH,PROTOCONL,Undirected,46,344.0
GSCHOLSEARCH,NOTEOTHCL,Undirected,47,3142.0
GSCHOLSEARCH,WORD,Undirected,48,16428.0
GSCHOLSEARCH,GTDRIVE,Undirected,49,6256.0
GSCHOLSEARCH,AUTHOREA,Undirected,50,167.0
GSCHOLSEARCH,LATEX,Undirected,51,3417.0
GSCHOLSEARCH,SCRIVEN,Undirected,52,525.0
GSCHOLSEARCH,OVERLEAF,Undirected,53,375.0
GSCHOLSEARCH,SCALAR,Undirected,54,71.0
GSCHOLSEARCH,WRITEOTHCL,Undirected,55,1946.0
GSCHOLSEARCH,ENDNOTE,Undirected,56,6568.0
GSCHOLSEARCH,ZOTERO,Undirected,57,2675.0
GSCHOLSEARCH,REFWORKS,Undirected,58,2094.0
GSCHOLSEARCH,MENDREF,Undirected,59,3733.0
GSCHOLSEARCH,PAPERS,Undirected,60,1291.0
GSCHOLSEARCH,REFME,Undirected,61,248.0
GSCHOLSEARCH,CITAVI,Undirected,62,664.0
GSCHOLSEARCH,REFOTHCL,Undirected,63,1993.0
GSCHOLSEARCH,ARXIV,Undirected,64,1354.0
GSCHOLSEARCH,PMC,Undirected,65,1944.0
GSCHOLSEARCH,INREP,Undirected,66,5365.0
GSCHOLSEARCH,BIORXIV,Undirected,67,231.0
GSCHOLSEARCH,WORKPAP,Undirected,68,2137.0
GSCHOLSEARCH,RGATESHAREPUB,Undirected,69,8175.0
GSCHOLSEARCH,SSRN,Undirected,70,814.0
GSCHOLSEARCH,SHAREPUBOTHCL,Undirected,71,2705.0
GSCHOLSEARCH,GITHUB,Undirected,72,2422.0
GSCHOLSEARCH,FIGSDATA,Undirected,73,1017.0
GSCHOLSEARCH,ZENODATA,Undirected,74,336.0
GSCHOLSEARCH,DRYAD,Undirected,75,430.0
GSCHOLSEARCH,DATAVERSE,Undirected,76,492.0
GSCHOLSEARCH,PANGAEA,Undirected,77,161.0
GSCHOLSEARCH,BITBUCK,Undirected,78,558.0
GSCHOLSEARCH,DATAOTHCL,Undirected,79,1974.0
GSCHOLSEARCH,JCRIFSEL,Undirected,80,5330.0
GSCHOLSEARCH,DOAJ,Undirected,81,1730.0
GSCHOLSEARCH,SCOPSEL,Undirected,82,3881.0
GSCHOLSEARCH,SHERPAROM,Undirected,83,942.0
GSCHOLSEARCH,QOAM,Undirected,84,211.0
GSCHOLSEARCH,SCIMAGO,Undirected,85,1815.0
GSCHOLSEARCH,JOURNALYS,Undirected,86,771.0
GSCHOLSEARCH,JRNLOTHCL,Undirected,87,2011.0
GSCHOLSEARCH,JTOPTRAD,Undirected,88,11954.0
GSCHOLSEARCH,JTOPOA,Undirected,89,4735.0
GSCHOLSEARCH,MEGATRAD,Undirected,90,3784.0
GSCHOLSEARCH,MEGAOA,Undirected,91,2846.0
GSCHOLSEARCH,DATAJRNL,Undirected,92,239.0
GSCHOLSEARCH,WINNOWER,Undirected,93,106.0
GSCHOLSEARCH,F1000RES,Undirected,94,355.0
GSCHOLSEARCH,PUBLOTHCL,Undirected,95,1137.0
GSCHOLSEARCH,SPEAKER,Undirected,96,262.0
GSCHOLSEARCH,SLIDSHA,Undirected,97,3047.0
GSCHOLSEARCH,F1000POS,Undirected,98,320.0
GSCHOLSEARCH,SCIOPPO,Undirected,99,350.0
GSCHOLSEARCH,FIGSPOST,Undirected,100,782.0
GSCHOLSEARCH,ZENOPOST,Undirected,101,181.0
GSCHOLSEARCH,VIMEO,Undirected,102,880.0
GSCHOLSEARCH,POSTOTHCL,Undirected,103,1724.0
GSCHOLSEARCH,WIKIPEDIA,Undirected,104,3148.0
GSCHOLSEARCH,RESBLOG,Undirected,105,717.0
GSCHOLSEARCH,WORDPRESS,Undirected,106,2803.0
GSCHOLSEARCH,KUDOS,Undirected,107,386.0
GSCHOLSEARCH,FAMELAB,Undirected,108,123.0
GSCHOLSEARCH,PINTSCI,Undirected,109,148.0
GSCHOLSEARCH,TWITTER,Undirected,110,5224.0
GSCHOLSEARCH,TELLOTHCL,Undirected,111,2681.0
