id,label
GSCHOLSEARCH,GSCHOLSEARCH
WOSSEARCH,WOSSEARCH
SCOPSEARCH,SCOPSEARCH
MENDSEARCH,MENDSEARCH
WORLDCAT,WORLDCAT
PUBMED,PUBMED
PAPERI,PAPERI
SEARCHOTHCL,SEARCHOTHCL
INSTACC,INSTACC
PAYVIEW,PAYVIEW
RGATEACCESS,RGATEACCESS
RES4LIFE,RES4LIFE
OABUT,OABUT
DEEPDYVE,DEEPDYVE
MAILAUTH,MAILAUTH
ACCESSOTHCL,ACCESSOTHCL
GSCHOLALERT,GSCHOLALERT
JRNLTOCS,JRNLTOCS
BROWZINE,BROWZINE
MENDALERT,MENDALERT
F1000PRI,F1000PRI
SPARRHO,SPARRHO
RGATEALERT,RGATEALERT
ALERTOTHCL,ALERTOTHCL
ACROBAT,ACROBAT
HTMLVIEW,HTMLVIEW
IANNOTATE,IANNOTATE
READCUBE,READCUBE
UTOPDOCS,UTOPDOCS
MENDREAD,MENDREAD
HYPOTHES,HYPOTHES
READOTHCL,READOTHCL
RTOOL,RTOOL
SPSS,SPSS
MATLAB,MATLAB
EXCEL,EXCEL
IPYTHON,IPYTHON
ROPENSCI,ROPENSCI
DHBOX,DHBOX
ANALYZOTHCL,ANALYZOTHCL
OPSCIFRAM,OPSCIFRAM
MYEXP,MYEXP
BENCHLING,BENCHLING
PROTOCIO,PROTOCIO
BENCHFLY,BENCHFLY
SCIPROT,SCIPROT
PROTOCONL,PROTOCONL
NOTEOTHCL,NOTEOTHCL
WORD,WORD
GTDRIVE,GTDRIVE
AUTHOREA,AUTHOREA
LATEX,LATEX
SCRIVEN,SCRIVEN
OVERLEAF,OVERLEAF
SCALAR,SCALAR
WRITEOTHCL,WRITEOTHCL
ENDNOTE,ENDNOTE
ZOTERO,ZOTERO
REFWORKS,REFWORKS
MENDREF,MENDREF
PAPERS,PAPERS
REFME,REFME
CITAVI,CITAVI
REFOTHCL,REFOTHCL
ARXIV,ARXIV
PMC,PMC
INREP,INREP
BIORXIV,BIORXIV
WORKPAP,WORKPAP
RGATESHAREPUB,RGATESHAREPUB
SSRN,SSRN
SHAREPUBOTHCL,SHAREPUBOTHCL
GITHUB,GITHUB
FIGSDATA,FIGSDATA
ZENODATA,ZENODATA
DRYAD,DRYAD
DATAVERSE,DATAVERSE
PANGAEA,PANGAEA
BITBUCK,BITBUCK
DATAOTHCL,DATAOTHCL
JCRIFSEL,JCRIFSEL
DOAJ,DOAJ
SCOPSEL,SCOPSEL
SHERPAROM,SHERPAROM
QOAM,QOAM
SCIMAGO,SCIMAGO
JOURNALYS,JOURNALYS
JRNLOTHCL,JRNLOTHCL
JTOPTRAD,JTOPTRAD
JTOPOA,JTOPOA
MEGATRAD,MEGATRAD
MEGAOA,MEGAOA
DATAJRNL,DATAJRNL
WINNOWER,WINNOWER
F1000RES,F1000RES
PUBLOTHCL,PUBLOTHCL
SPEAKER,SPEAKER
SLIDSHA,SLIDSHA
F1000POS,F1000POS
SCIOPPO,SCIOPPO
FIGSPOST,FIGSPOST
ZENOPOST,ZENOPOST
VIMEO,VIMEO
POSTOTHCL,POSTOTHCL
WIKIPEDIA,WIKIPEDIA
RESBLOG,RESBLOG
WORDPRESS,WORDPRESS
KUDOS,KUDOS
FAMELAB,FAMELAB
PINTSCI,PINTSCI
TWITTER,TWITTER
TELLOTHCL,TELLOTHCL
SCHOLARCIT,SCHOLARCIT
RGATEPROF,RGATEPROF
ORCID,ORCID
ACADEMIA,ACADEMIA
RESID,RESID
INSTPAGE,INSTPAGE
MYSCIWORK,MYSCIWORK
RESPROFOTHCL,RESPROFOTHCL
PERRSCI,PERRSCI
PUBLONS,PUBLONS
PMCCOMMONS,PMCCOMMONS
PUBPEER,PUBPEER
PAPARCRIT,PAPARCRIT
RUBRIQ,RUBRIQ
KARMA,KARMA
PROTHCL,PROTHCL
JCRIFIMP,JCRIFIMP
ALTMETRIC,ALTMETRIC
SCOPID,SCOPID
IMPSTOR,IMPSTOR
PLOSALM,PLOSALM
WOSIMP,WOSIMP
HARZPOP,HARZPOP
IMPACTOTHCL,IMPACTOTHCL
