TOOL / PLATFORM,  GOOGLE SCHOLAR (SEARCH),  WEB OF SCIENCE (SEARCH),  SCOPUS (SEARCH),  MENDELEY (SEARCH),  WORLDCAT,  PUBMED,  PAPERITY,  INSTITUTIONAL ACCESS,  PAY PER VIEW,  RESEARCHGATE (ACCESS),  RESEARCH4LIFE,  OA BUTTON,  DEEPDYVE,  MAIL AUTHOR,  GOOGLE SCHOLAR (ALERTS),  JOURNALTOCS,  BROWZINE,  MENDELEY (ALERTS),  F1000 PRIME,  SPARRHO,  RESEARCHGATE (ALERTS),  ACROBAT,  HTML VIEW,  IANNOTATE,  READCUBE,  UTOPIADOCS,  MENDELEY (READ),  HYPOTHES.IS,  R,  SPSS,  MATLAB,  EXCEL,  IPYTHON NOTEBOOKS,  ROPENSCI,  DHBOX,  OPEN SCIENCE FRAMEWORK,  MYEXPERIMENT,  BENCHLING,  PROTOCOLS.IO,  BENCHFLY,  SCIENTIFIC PROTOCOLS,  PROTOCOLS ONLINE,  WORD,  GOOGLE DRIVE/DOCS,  AUTHOREA,  LATEX,  SCRIVENER,  OVERLEAF,  SCALAR,  ENDNOTE,  ZOTERO,  REFWORKS,  MENDELEY (REF),  PAPERS,  REFME,  CITAVI,  ARXIV,  PUBMED CENTRAL,  INSTITUTIONAL REPOSITORY,  BIORXIV,  WORKING PAPERS,  RESEARCHGATE (SHARE PUB),  SSRN,  GITHUB,  FIGSHARE (DATA),  ZENOD0 (DATA),  DRYAD,  DATAVERSE,  PANGAEA,  BITBUCKET,  JCR IF (SELECT J),  DOAJ,  SCOPUS (SELECT J),  SHERPAROMEO,  QOAM,  SCIMAGO,  JOURNALYSIS,  TOPICAL JOURNAL (TRAD PUBL),  TOPICAL JOURNAL (OA PUBL),  MEGAJOURNAL (TRAD PUBL),  MEGAJOURNAL (OA PUBL),  DATAJOURNAL,  WINNOWER,  F1000 RESEARCH,  SPEAKERDECK,  SLIDESHARE,  F1000 POSTERS,  SCIENCEOPEN POSTERS,  FIGSHARE (POSTERS),  ZENODO (POSTERS),  VIMEO,  WIKIPEDIA,  RESEARCHBLOGGING.ORG,  WORDPRESS,  KUDOS,  FAMELAB,  PINT OF SCIENCE,  TWITTER,  GOOGLE SCHOLAR CITATIONS,  RESEARCHGATE (PROFILES),  ORCID,  ACADEMIA.EDU,  RESEARCHERID,  PROFILE PAGE AT INSTITUTION,  MY SCIENCE WORK,  PEERAGE OF SCIENCE,  PUBLONS,  PUBMED COMMONS,  PUBPEER,  PAPERCRITIC,  RUBRIQ,  ACADEMIC KARMA,  JCR IF (IMPACT),  ALTMETRIC,  SCOPUS (IMPACT),  IMPACTSTORY,  PLOS ALM,  WOS (IMPACT),  HARZING PUBLISH OR PERISH
 GOOGLE SCHOLAR (SEARCH),NA,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
 WEB OF SCIENCE (SEARCH),1,NA,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
 SCOPUS (SEARCH),1,1,NA,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
 MENDELEY (SEARCH),1,1,1,NA,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
 WORLDCAT,1,0,0,1,NA,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
 PUBMED,0,1,0,1,0,NA,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0
 PAPERITY,0,0,0,0,0,0,NA,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
 INSTITUTIONAL ACCESS,0,1,0,0,1,1,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
 PAY PER VIEW,0,0,0,0,1,0,1,0,NA,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
 RESEARCHGATE (ACCESS),1,1,1,1,0,1,0,0,0,NA,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
