"M";"GSCHOLSEARCH"
"N";"WOSSEARCH"
"O";"SCOPSEARCH"
"P";"MENDSEARCH"
"Q";"WORLDCAT"
"R";"PUBMED"
"S";"PAPERI"
"T";"SEARCHOTH"
"U";"SEARCHSPEC"
"V";"INSTACC"
"W";"PAYVIEW"
"X";"RGATEACCESS"
"X";"RES4LIFE"
"Z";"OABUT"
"AA";"DEEPDYVE"
"AB";"MAILAUTH"
"AC";"ACCESSOTH"
"AD";"ACCESSSPEC"
"AE";"GSCHOLALERT"
"AF";"JRNLTOCS"
"AG";"BROWZINE"
"AH";"MENDALERT"
"AI";"F1000PRI"
"AJ";"SPARRHO"
"AK";"RGATEALERT"
"AL";"ALERTOTH"
"AM";"ALERTSPEC"
"AN";"ACROBAT"
"AO";"HTMLVIEW"
"AP";"IANNOTATE"
"AQ";"READCUBE"
"AR";"UTOPDOCS"
"AS";"MENDREAD"
"AT";"HYPOTHES"
"AU";"READOTH"
"AV";"READSPEC"
"AW";"RTOOL"
"AX";"SPSS"
"AY";"MATLAB"
"AZ";"EXCEL"
"BA";"IPYTHON"
"BB";"ROPENSCI"
"BC";"DHBOX"
"BD";"ANALYZOTH"
"BE";"ANALYZSPEC"
"BF";"OPSCIFRAM"
"BG";"MYEXP"
"BH";"BENCHLING"
"BI";"PROTOCIO"
"BJ";"BENCHFLY"
"BK";"SCIPROT"
"BL";"PROTOCONL"
"BM";"NOTEOTH"
"BN";"NOTESPEC"
"BO";"WORD"
"BP";"GTDRIVE"
"BQ";"AUTHOREA"
"BR";"LATEX"
"BS";"SCRIVEN"
"BT";"OVERLEAF"
"BU";"SCALAR"
"BV";"WRITEOTH"
"BW";"WRITESPEC"
"BX";"ENDNOTE"
"BY";"ZOTERO"
"BZ";"REFWORKS"
"CA";"MENDREF"
"CB";"PAPERS"
"CC";"REFME"
"CD";"CITAVI"
"CE";"REFOTH"
"CF";"REFSPEC"
"CG";"ARXIV"
"CH";"PMC"
"CI";"INREP"
"CJ";"BIORXIV"
"CK";"WORKPAP"
"CL";"RGATESHAREPUB"
"CM";"SSRN"
"CN";"SHAREPUBOTH"
"CO";"SHAREPUBSPEC"
"CP";"GITHUB"
"CQ";"FIGSDATA"
"CR";"ZENODATA"
"CS";"DRYAD"
"CT";"DATAVERSE"
"CU";"PANGAEA"
"CV";"BITBUCK"
"CW";"DATAOTH"
"CX";"DATASPEC"
"CY";"JCRIFSEL"
"CZ";"DOAJ"
"DA";"SCOPSEL"
"DB";"SHERPAROM"
"DC";"QOAM"
"DD";"SCIMAGO"
"DE";"JOURNALYS"
"DF";"JRNLOTH"
"DG";"JRNLSPEC"
"DH";"JTOPTRAD"
"DI";"JTOPOA"
"DJ";"MEGATRAD"
"DK";"MEGAOA"
"DL";"DATAJRNL"
"DM";"WINNOWER"
"DN";"F1000RES"
"DO";"PUBLOTH"
"DP";"PUBLSPEC"
"DQ";"SPEAKER"
"DR";"SLIDSHA"
"DS";"F1000POS"
"DT";"SCIOPPO"
"DU";"FIGSPOST"
"DV";"ZENOPOST"
"DW";"VIMEO"
"DX";"POSTOTH"
"DY";"POSTSPEC"
"DZ";"WIKIPEDIA"
"EA";"RESBLOG"
"EB";"WORDPRESS"
"EC";"KUDOS"
"ED";"FAMELAB"
"EE";"PINTSCI"
"EF";"TWITTER"
"EG";"TELLOTH"
"EH";"TELLSPEC"
"EI";"SCHOLARCIT"
"EJ";"RGATEPROF"
"EK";"ORCID"
"EL";"ACADEMIA"
"EM";"RESID"
"EN";"INSTPAGE"
"EO";"MYSCIWORK"
"EP";"RESPROFOTH"
"EQ";"RESPROFSPEC"
"ER";"PERRSCI"
"ES";"PUBLONS"
"ET";"PMCCOMMONS"
"EU";"PUBPEER"
"EV";"PAPARCRIT"
"EW";"RUBRIQ"
"EX";"KARMA"
"EY";"PROTH"
"EZ";"PRSPEC"
"FA";"JCRIFIMP"
"FB";"ALTMETRIC"
"FC";"SCOPID"
"FD";"IMPSTOR"
"FE";"PLOSALM"
"FF";"WOSIMP"
"FG";"HARZPOP"
"FH";"IMPACTOTH"
"FI";"IMPACTSPEC"
